NEvent,1_1_t,1_2_t,1_3_t,1_4_t,2_1_t,2_2_t,2_3_t,2_4_t,3_1_t,3_2_t,3_3_t,3_4_t,4_1_t,4_2_t,4_3_t,4_4_t,5_1_t,5_2_t,5_3_t,5_4_t,6_1_t,6_2_t,6_3_t,6_4_t,7_1_t,7_2_t,7_3_t,7_4_t,8_1_t,8_2_t,8_3_t,8_4_t,9_1_t,9_2_t,9_3_t,9_4_t,nClusters,mTheta,theta,mPhi,phi
498860,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.965999999999894,-1.0,4.429999999999836,30.64300000000003,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,14.284999999999854,-1.0,-1.0,-1.0,-1.0,2,34.851222419513654,43.74,153.57227010413104,159.88
504486,-1.0,199.68600000000015,15.929000000000087,38.66600000000017,-1.0,-1.0,-1.0,-1.0,40.991999999999734,0.0,21.78800000000001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.75799999999981,43.804999999999836,53.50599999999986,69.48199999999997,-1.0,-1.0,-1.0,-1.0,33.878000000000156,63.73799999999983,46.26899999999978,43.625,39.25700000000006,-1.0,-1.0,50.93600000000015,5,40.6226702146688,41.37,166.94765064078422,159.59
505702,-1.0,-1.0,405.66599999999994,434.1229999999998,440.88199999999983,414.7049999999997,439.0719999999999,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,410.09199999999987,444.6899999999998,-1.0,-1.0,-1.0,-1.0,-1.0,3,73.163963767688,67.19,138.97742247667762,138.36
513334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,132.73399999999992,0.0,55.279999999999745,135.51099999999997,-1.0,-1.0,83.23199999999997,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75.17899999999963,132.27299999999968,101.36699999999973,3,,44.7,,146.74
547986,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,509.14099999999985,467.7209999999998,0.0,539.635,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,485.3900000000001,-1.0,533.2549999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,,60.55,,144.17
560395,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.67399999999998,20.115000000000236,89.9050000000002,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.222000000000207,-1.0,44.38599999999997,-1.0,30.52200000000039,0.0,-1.0,-1.0,21.70600000000013,-1.0,40.228000000000065,67.78500000000031,-1.0,23.0,39.27500000000009,-1.0,5,73.35523331877737,57.74,117.57507667697524,121.87
570853,63.94800000000032,40.501000000000204,55.43000000000029,76.89000000000033,75.5890000000004,55.88200000000006,62.501000000000204,86.58500000000004,-1.0,-1.0,-1.0,-1.0,55.508000000000266,0.0,11.653999999999996,-1.0,74.56200000000035,46.85500000000002,54.9340000000002,85.78700000000026,-1.0,-1.0,-1.0,-1.0,71.47600000000011,41.28300000000036,55.358000000000175,86.02800000000025,56.78200000000015,41.44600000000037,50.577000000000226,82.40599999999995,78.73500000000013,34.56700000000001,55.090000000000146,77.45299999999997,7,37.211377246827176,40.8,158.29354798516752,153.78
572587,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,43.01299999999992,11.560999999999694,-1.0,83.50500000000011,33.21900000000005,0.0,18.049999999999727,71.55400000000009,53.25099999999975,31.66899999999987,44.822999999999865,74.9079999999999,-1.0,-1.0,-1.0,-1.0,38.14599999999973,3.951000000000022,-1.0,46.63799999999992,49.67000000000007,28.978000000000065,41.721000000000004,-1.0,-1.0,-1.0,-1.0,-1.0,5,58.38362555810511,43.45,150.08501179758764,152.84
572879,29.28500000000031,8.960000000000036,22.394999999999982,37.090000000000146,31.856000000000222,8.182000000000244,21.13000000000011,41.03600000000006,27.514000000000124,0.0,15.540000000000418,38.439000000000306,45.957000000000335,14.493000000000393,27.705000000000382,59.901000000000295,49.56100000000015,21.32300000000032,28.644000000000233,58.73500000000013,-1.0,5.697000000000116,-1.0,25.28500000000031,25.46100000000024,3.3910000000000764,1.66800000000012,34.641000000000076,38.246000000000095,9.082000000000335,25.35400000000027,54.46100000000024,20.524000000000342,-1.0,-1.0,25.23400000000038,9,38.8822898083514,40.28,162.8155344386237,161.6
590448,78.4090000000001,79.05299999999988,65.9090000000001,89.09799999999996,-1.0,52.184999999999945,-1.0,95.1579999999999,-1.0,-1.0,89.25700000000006,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,109.44399999999996,78.31500000000005,92.9369999999999,124.88400000000001,87.85300000000007,50.72600000000011,168.1300000000001,-1.0,5,31.46769513553504,41.19,178.59962329521443,159.61
605886,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,65.80000000000018,20.09400000000005,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,,59.23,,199.86
627173,71.32000000000016,58.208000000000084,39.59900000000016,50.27500000000009,70.3789999999999,63.514000000000124,31.516000000000076,46.608999999999924,96.13700000000017,82.03699999999981,34.340999999999894,47.909000000000106,64.69799999999987,47.634000000000015,24.699999999999818,43.192999999999756,82.80000000000018,67.42700000000013,32.59999999999991,50.98500000000013,45.409999999999854,30.38799999999992,0.0,6.016000000000076,60.93199999999979,75.09699999999975,47.702999999999975,40.684999999999945,67.70800000000008,50.14300000000003,27.73799999999983,39.69599999999991,59.302000000000135,44.01299999999992,26.7199999999998,57.277000000000044,9,40.55077388469001,40.73,239.00639249112777,238.63
628131,120.404,-1.0,87.58899999999994,100.25900000000001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,89.77199999999993,-1.0,90.8409999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,92.8109999999997,-1.0,-1.0,-1.0,-1.0,3,37.66778251507038,45.1,239.96871258283068,243.44
635019,41.56399999999985,80.61000000000013,286.6149999999998,17.76299999999992,-1.0,-1.0,-1.0,-1.0,-1.0,29.253999999999905,22.545000000000073,41.40700000000015,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.05400000000009,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3,,48.27,,248.14
