RUN	Event	Teta	Fi	Nview	NviewCorr	Sdet	Dens	DensCorr	NgoodPMT	NhitPMT	SumNpeGoodCorr	SpecEnDep	NupSCT	NdnSCT
810	1385298	51.54	161.71	6	6.00391	30.8374	0.126597	0.128898	520	267	2746.5	21307.6	0	0
810	1389395	49.61	147.29	5	5.00226	30.0349	0.0966298	0.0988581	520	354	8463.19	85609.5	3	1
810	1390908	40.65	106.8	7	7.00621	16.7611	0.292713	0.29665	520	504	35634.3	120122	8	2
810	1394273	49.69	119.05	5	5.00226	24.5756	0.118095	0.120819	520	322	5286.56	43756.2	1	0
810	1400054	41.46	142.04	5	5.00226	25.4324	0.114117	0.116748	520	305	4724.32	40466	0	0
810	1406516	48	137.89	5	5.00226	28.2567	0.102711	0.105079	520	325	4511.22	42931.7	2	1
810	1407314	53.69	162.4	7	7.00621	31.7476	0.154538	0.156616	520	329	4924.46	31442.9	0	1
810	1413960	48.21	226.4	12	12.0313	27.6319	0.359413	0.356531	520	440	12217.1	34266.7	3	2
810	1414404	54.26	195.39	6	6.00391	31.768	0.122888	0.125122	520	290	4107.75	32830	0	0
810	1414938	53.98	248.03	5	5.00226	23.6149	0.1229	0.125734	520	196	1940.52	15433.5	0	0
810	1415259	44.98	203.1	12	12.0313	27.8646	0.356412	0.353553	520	502	69250.3	195870	18	0
810	1434381	58.69	121.06	6	6.00391	28.5512	0.136733	0.139219	520	394	11677.1	83876.1	2	3
810	1437250	63.75	143.39	6	6.00391	35.4574	0.110101	0.112103	520	264	4074.15	36343	0	0
810	1439389	45.72	207.76	5	5.00226	28.285	0.102608	0.104974	520	129	1181.34	11253.6	0	0
810	1458129	46.17	124.73	5	5.00226	24.7133	0.117437	0.120145	520	384	7203.4	59955.7	2	0
810	1459229	48.85	150.63	5	5.00226	29.824	0.0973129	0.099557	520	116	964.031	9683.21	0	0
810	1466208	47.04	224.09	7	7.00621	27.4851	0.178504	0.180905	520	437	23698.3	130999	5	2
810	1477224	50.3	154.27	5	5.00226	30.572	0.094932	0.0971211	520	219	2711.45	27918.2	0	0
810	1482005	43.71	154.7	5	5.00226	27.2342	0.106567	0.109024	520	288	5552.4	50928.1	1	0
810	1495610	57.21	213.51	5	5.00226	33.3444	0.0870389	0.089046	520	245	3147.18	35343.3	0	0
810	1500199	59.57	231.89	5	5.00226	31.0019	0.0936156	0.0957743	520	317	6204.37	64781.1	0	0
810	1503501	50.48	221.52	7	7.00621	29.5061	0.166278	0.168514	520	242	3568.22	21174.6	0	0
810	1504675	43.97	209.72	9	9.01319	27.3229	0.253018	0.254142	520	358	6541.06	25737.8	0	1
810	1504889	68.66	242.09	5	5.00226	30.2392	0.0959768	0.09819	520	163	1522.78	15508.5	0	0
810	1510081	44.07	217.92	5	5.00226	26.8215	0.108207	0.110702	520	222	2578.2	23289.6	0	0
810	1517935	51.6	209.16	9	9.01319	31.14	0.222004	0.22299	520	424	14292.2	64093.7	12	0
810	1540074	41.17	233.15	8	8.00926	22.85	0.258612	0.260906	520	398	8056.23	30877.9	1	0
810	1549703	54.46	145.79	5	5.00226	32.1363	0.090311	0.0923935	520	199	1712.56	18535.5	0	0
810	1551118	43.19	222.8	5	5.00226	25.7615	0.112659	0.115257	520	350	6627.29	57500.3	2	0
810	1568221	40.81	109.81	5	5.00226	17.8911	0.162218	0.165959	520	278	2921.81	17605.6	4	0
810	1572929	40.61	236.45	7	7.00621	21.8147	0.224903	0.227928	520	405	9700.35	42558.8	2	0
810	1584827	63.61	144.86	9	9.01319	35.5728	0.194339	0.195202	520	411	11386.8	58333.2	0	1
810	1590495	43.84	218.17	8	8.00926	26.6755	0.221524	0.223489	520	478	27790	124346	12	0
810	1606009	51.54	207.48	6	6.00391	31.1483	0.125333	0.127611	520	367	7977.81	62516.5	1	1
810	1615043	40.61	124.1	6	6.00391	21.9464	0.177884	0.181117	520	349	8358.58	46150.2	4	0
810	1624566	44.77	141.17	5	5.00226	27.0845	0.107156	0.109627	520	139	1283.56	11708.5	0	1
810	1625074	60.44	155.06	5	5.00226	34.8937	0.0831745	0.0850925	520	132	1403.89	16498.4	0	0
810	1652099	49.97	201	10	10.0181	30.2803	0.261493	0.261533	520	493	19677.3	75238.2	4	1
810	1661079	61.57	118.4	5	5.00226	28.524	0.101748	0.104094	520	448	16319.5	156776	0	2
810	1672535	51.68	204.48	13	13.0398	31.2069	0.350556	0.34638	520	385	8082.21	23333.3	1	0
810	1675919	46.2	128.21	13	13.0398	25.5716	0.427809	0.422713	520	427	10907	25802.3	5	0
810	1684507	54.82	125.26	7	7.00621	28.4691	0.172335	0.174652	520	444	13801.8	79024.4	1	0
810	1687033	42.79	242.54	8	8.00926	21.1826	0.278968	0.281443	520	433	12391.7	44029.2	3	1
810	1712184	40.89	245.93	8	8.00926	19.3192	0.305876	0.30859	520	511	46889.9	151949	17	0
810	1720987	63.01	142.39	5	5.00226	35.0841	0.0827231	0.0846307	520	263	3729.61	44069.3	0	1
810	1722559	52.72	254.26	10	10.0181	20.5769	0.384806	0.384864	520	490	29627.3	76981.1	5	0
810	1730677	43.09	129.35	5	5.00226	24.3325	0.119275	0.122026	520	362	6484.35	53139.2	3	1
810	1737513	43.32	141.75	8	8.00926	26.3948	0.22388	0.225866	520	395	9858.95	43649.6	2	0
810	1741258	44.08	232.1	11	11.0241	24.5015	0.364226	0.362769	520	473	16193.8	44639.3	2	0
810	1758600	65.18	217.38	5	5.00226	35.8274	0.0810067	0.0828747	520	378	7615.31	91889.5	1	1
810	1761307	47.52	195.67	9	9.01319	28.6687	0.241141	0.242212	520	444	12978.2	53581.8	3	1
810	1773918	59.52	121.35	5	5.00226	28.9241	0.10034	0.102654	520	110	768.733	7488.56	0	1
